"jeune pousse";arbuste;arbre;vide
0,0;4,0E-4;0,0;0,9996
2,0E-4;4,0E-4;0,0;0,9994
1,0E-4;1,0E-4;4,0E-4;0,9994
6,0E-4;1,0E-4;4,0E-4;0,9989
1,0E-4;5,0E-4;5,0E-4;0,9989
4,0E-4;5,0E-4;5,0E-4;0,9986
1,0E-4;3,0E-4;0,001;0,9986
0,001;3,0E-4;0,001;0,9977
2,0E-4;8,0E-4;0,0013;0,9977
9,0E-4;8,0E-4;0,0013;0,997
2,0E-4;7,0E-4;0,0021;0,997
0,0012;7,0E-4;0,0021;0,996
5,0E-4;7,0E-4;0,0028;0,996
0,0013;7,0E-4;0,0028;0,9952
6,0E-4;7,0E-4;0,0035;0,9952
0,0018;7,0E-4;0,0035;0,994
7,0E-4;0,0011;0,0042;0,994
0,0018;0,0011;0,0042;0,9929
0,001;8,0E-4;0,0053;0,9929
0,0026;8,0E-4;0,0053;0,9913
0,0011;0,0015;0,0061;0,9913
0,0027;0,0015;0,0061;0,9897
0,0014;0,0013;0,0076;0,9897
0,0032;0,0013;0,0076;0,9879
0,0017;0,0015;0,0089;0,9879
0,0035;0,0015;0,0089;0,9861
0,0021;0,0014;0,0104;0,9861
0,004;0,0014;0,0104;0,9842
0,0023;0,0017;0,0118;0,9842
0,0043;0,0017;0,0118;0,9822
0,0028;0,0015;0,0135;0,9822
0,0049;0,0015;0,0135;0,9801
0,003;0,0019;0,015;0,9801
0,0053;0,0019;0,015;0,9778
0,0035;0,0018;0,0169;0,9778
0,0061;0,0018;0,0169;0,9752
0,0037;0,0024;0,0187;0,9752
0,0062;0,0024;0,0187;0,9727
0,0042;0,002;0,0211;0,9727
0,0074;0,002;0,0211;0,9695
0,0045;0,0029;0,0231;0,9695
0,0076;0,0029;0,0231;0,9664
0,0053;0,0023;0,026;0,9664
0,008;0,0023;0,026;0,9637
0,0058;0,0022;0,0283;0,9637
0,0086;0,0022;0,0283;0,9609
0,0064;0,0022;0,0305;0,9609
0,0092;0,0022;0,0305;0,9581
0,0067;0,0025;0,0327;0,9581
0,0096;0,0025;0,0327;0,9552
0,0072;0,0024;0,0352;0,9552
0,0104;0,0024;0,0352;0,952
0,0077;0,0027;0,0376;0,952
0,0109;0,0027;0,0376;0,94879997
0,0085;0,0024;0,0403;0,9488
0,0116;0,0024;0,0403;0,9457
0,0089;0,0027;0,0427;0,9457
0,0117;0,0027;0,0427;0,9429
0,0097;0,002;0,0454;0,9429
0,0127;0,002;0,0454;0,9399
0,0098;0,0029;0,0474;0,9399
0,0127;0,0029;0,0474;0,937
0,0106;0,0021;0,0503;0,937
0,0141;0,0021;0,0503;0,9335
0,0109;0,0032;0,0524;0,9335
0,0143;0,0032;0,0524;0,9301
0,0117;0,0026;0,0556;0,9301
0,0151;0,0026;0,0556;0,9267
0,0122;0,0029;0,0582;0,9267
0,0152;0,0029;0,0582;0,9237
0,013;0,0022;0,0611;0,9237
0,0165;0,0022;0,0611;0,9202
0,0133;0,0032;0,0633;0,9202
0,0167;0,0032;0,0633;0,9168
0,0139;0,0028;0,0665;0,9168
0,0175;0,0028;0,0665;0,9132
0,0144;0,0031;0,0693;0,9132
0,018;0,0031;0,0693;0,9096
0,0151;0,0029;0,0724;0,9096
0,0187;0,0029;0,0724;0,906
0,0156;0,0031;0,0753;0,906
0,0189;0,0031;0,0753;0,9027
0,0161;0,0028;0,0784;0,9027
0,0196;0,0028;0,0784;0,89919996
0,0166;0,003;0,0812;0,8992
0,0197;0,003;0,0812;0,8961
0,0174;0,0023;0,0842;0,8961
0,0207;0,0023;0,0842;0,8928
0,0178;0,0029;0,0865;0,89280003
0,0211;0,0029;0,0865;0,8895
0,0185;0,0026;0,0894;0,8895
0,022;0,0026;0,0894;0,886
0,0188;0,0032;0,092;0,886
0,022;0,0032;0,092;0,8828
0,0199;0,0021;0,0952;0,8828
0,0234;0,0021;0,0952;0,8793
0,0201;0,0033;0,0973;0,8793
0,023;0,0033;0,0973;0,8764
0,0214;0,0016;0,1006;0,8764
0,0248;0,0016;0,1006;0,873
0,0215;0,0033;0,1022;0,873
0,0248;0,0033;0,1022;0,8697
0,0225;0,0023;0,1055;0,8697
0,0257;0,0023;0,1055;0,8665
0,0227;0,003;0,1078;0,8665
0,0262;0,003;0,1078;0,863
0,0239;0,0023;0,1108;0,86300004
0,0273;0,0023;0,1108;0,8596
0,0241;0,0032;0,1131;0,8596
0,0277;0,0032;0,1131;0,856
0,0249;0,0028;0,1163;0,856
0,0282;0,0028;0,1163;0,8527
0,0253;0,0029;0,1191;0,8527
0,0287;0,0029;0,1191;0,8493
0,0265;0,0022;0,122;0,8493
0,0297;0,0022;0,122;0,8461
0,0269;0,0028;0,1242;0,8461
0,0305;0,0028;0,1242;0,8425
0,0274;0,0031;0,127;0,8425
0,0311;0,0031;0,127;0,8388
0,0279;0,0032;0,1301;0,8388
0,0315;0,0032;0,1301;0,8352
0,0292;0,0023;0,1333;0,8352
0,0327;0,0023;0,1333;0,83169997
0,0295;0,0032;0,1356;0,83169997
0,0333;0,0032;0,1356;0,8279
0,0301;0,0032;0,1388;0,8279
0,0338;0,0032;0,1388;0,82420003
0,0308;0,003;0,142;0,8242
0,0344;0,003;0,142;0,8206
0,0319;0,0025;0,145;0,82060003
0,0354;0,0025;0,145;0,8171
0,0324;0,003;0,1475;0,8171
0,0361;0,003;0,1475;0,81340003
0,0329;0,0032;0,1505;0,81340003
0,0368;0,0032;0,1505;0,8095
0,0336;0,0032;0,1537;0,8095
0,0372;0,0032;0,1537;0,8059
0,0346;0,0026;0,1569;0,8059
0,0389;0,0026;0,1569;0,8016
0,0353;0,0036;0,1595;0,8016
0,0392;0,0036;0,1595;0,7977
0,0359;0,0033;0,1631;0,7977
0,0394;0,0033;0,1631;0,7942
0,0367;0,0027;0,1664;0,7942
0,0409;0,0027;0,1664;0,78999996
0,0373;0,0036;0,1691;0,78999996
0,0414;0,0036;0,1691;0,7859
0,0384;0,003;0,1727;0,7859
0,0423;0,003;0,1727;0,782
0,0389;0,0034;0,1757;0,782
0,0429;0,0034;0,1757;0,778
0,0397;0,0032;0,1791;0,778
0,044;0,0032;0,1791;0,7737
0,0404;0,0036;0,1823;0,7737
0,0447;0,0036;0,1823;0,7694
0,0416;0,0031;0,1859;0,7694
0,0456;0,0031;0,1859;0,7654
0,0423;0,0033;0,189;0,7654
0,0467;0,0033;0,189;0,76100004
0,0428;0,0039;0,1923;0,761
0,047;0,0039;0,1923;0,7568
0,0439;0,0031;0,1962;0,7568
0,0483;0,0031;0,1962;0,75240004
0,0449;0,0034;0,1993;0,7524
0,0489;0,0034;0,1993;0,7484
0,0458;0,0031;0,2027;0,7484
0,0501;0,0031;0,2027;0,7441
0,0461;0,004;0,2058;0,7441
0,0507;0,004;0,2058;0,7395
0,047;0,0037;0,2098;0,73950005
0,0517;0,0037;0,2098;0,7348
0,0481;0,0036;0,2135;0,7348
0,0524;0,0036;0,2135;0,7305
0,0491;0,0033;0,2171;0,7305
0,0537;0,0033;0,2171;0,7259
0,0494;0,0043;0,2204;0,7259
0,0539;0,0043;0,2204;0,7214
0,0507;0,0032;0,2247;0,7214
0,0553;0,0032;0,2247;0,7168
0,0516;0,0037;0,2279;0,7168
0,0561;0,0037;0,2279;0,7123
0,0529;0,0032;0,2316;0,7123
0,0574;0,0032;0,2316;0,70780003
0,0531;0,0043;0,2348;0,70780003
0,0574;0,0043;0,2348;0,70350003
0,0545;0,0029;0,2391;0,70350003
